text,label,clean_text
Analyst Update,0,"['thursday', 'biggest', 'analyst', 'call', 'apple', 'amazon', 'tesla', 'palantir', 'docusign', 'exxon', 'amp', 'http', 't.co', 'qpn8gwl7uh']"
Analyst Update,0,"['buy', 'la', 'vega', 'sand', 'travel', 'singapore', 'build', 'well', 'fargo', 'say', 'http', 't.co', 'fls2w57icz']"
Analyst Update,0,"['piper', 'sandler', 'downgrade', 'docusign', 'sell', 'citing', 'elevated', 'risk', 'amid', 'ceo', 'transition', 'http', 't.co', '1emtywmypr']"
Analyst Update,0,"['analyst', 'react', 'tesla', 'latest', 'earnings', 'break', 'next', 'electric', 'car', 'maker', 'http', 't.co', 'kwhoe6w06u']"
Analyst Update,0,"['netflix', 'peer', 'set', 'return', 'growth', 'analyst', 'say', 'giving', 'one', 'stock', '120', 'percent', 'upside', 'http', 't.co', 'jppdl0d9s4']"
Analyst Update,0,"['barclays', 'belief', 'earnings', 'underperforming', 'stock', 'may', 'surprise', 'wall', 'street', 'http', 't.co', 'phbsyvgaye']"
Analyst Update,0,"['bernstein', 'upgrade', 'alibaba', 'say', 'share', 'rally', '20', 'percent', 'http', 't.co', 'm3apoprgu0']"
Analyst Update,0,"['analyst', 'react', 'netflix', 'strong', 'quarter', 'pointing', 'potential', 'bottom', 'stock', 'http', 't.co', 'cqngjsyefd']"
Analyst Update,0,"['buy', 'chevron', 'share', 'look', 'attractive', 'level', 'hsbc', 'say', 'http', 't.co', 'gkdpfvxjep']"
Analyst Update,0,"['morgan', 'stanley', 'say', 'global', 'stock', 'set', 'earnings', 'beat', 'give', 'one', '45', 'percent', 'upside', 'http', 't.co', 'gewxa5yowr']"
Analyst Update,0,"['investing', 'club', 'analyst', 'dropped', 'bunch', 'new', 'note', 'energy', 'stock', '.', 'stand', 'http', 't.co', 'fakcxzymgz']"
Analyst Update,0,"['cfra', 'downgrade', 'disney', 'say', 'lack', 'cash', 'dividend', 'could', 'hurt', 'streaming', 'platform', 'http', 't.co', 'kg5v0ndfk4']"
Analyst Update,0,"['bank', 'america', 'bullish', 'jpmorgan', '.', 'mean', 'wall', 'street', 'economy', 'http', 't.co', 'zhxjgjmwjv']"
Analyst Update,0,"['tuesday', 'biggest', 'analyst', 'call', 'meta', 'chipotle', 'apple', 'tesla', 'exxon', 'netflix', 'sunrun', 'amp', 'http', 't.co', 'xgyzbgpbvc']"
Analyst Update,0,"['citi', 'cut', 'microsoft', 'price', 'target', 'citing', 'foreign', 'exchange', 'headwind', 'http', 't.co', 'zsnmboyngw']"
Analyst Update,0,"['exchange', 'operator', 'cboe', 'buy', 'recession', 'chance', 'rise', 'morgan', 'stanley', 'say', 'http', 't.co', 'z51h67lv4o']"
Analyst Update,0,"['strong', 'earnings', 'may', 'enough', 'bring', 'netflix', 'funk', 'credit', 'suisse', 'say', 'http', 't.co', '99yku9j8x2']"
Analyst Update,0,"['tesla', 'bitcoin', 'holding', 'could', 'result', '460', 'million', 'hit', 'carmaker', 'barclays', 'say', 'http', 't.co', 'j50bsxasf6']"
Analyst Update,0,"['morningstar', 'strategist', 'say', 'two', 'faang', 'stock', 'look', 'incredibly', 'cheap', 'right', 'http', 't.co', 'dkr5q5o0ei']"
Analyst Update,0,"['analyst', 'call', 'day', 'cnbcpro', 'subscriber', 'citi', 'added', 'positive', 'catalyst', 'watch', 'delta', 'said', 'see', 'upside', 'risk', '.', 'subscribe', 'see', 'analyst', 'call', 'day', 'curated', 'cnbc', 'pro', '.', 'http', 't.co', 'eayz0ec9do']"
Analyst Update,0,"['apple', 'near', 'term', 'future', 'look', 'murky', 'consumer', 'spending', 'slows', 'bernstein', 'say', 'http', 't.co', '21t9lreta4']"
Analyst Update,0,"['buy', 'tesla', 'short', 'term', 'capture', 'potential', 'upside', 'earnings', 'say', 'deutsche', 'bank', 'http', 't.co', 'q4mqosvmxj']"
